Nombre,Dirección,Servicios
Caseta Municipal Villanueva Del Ariscal,"Av. de la Cabalgata de los Reyes Magos 1
                                , Villanueva del Ariscal",Gimnasio
Campo de fútbol Cantarrana,"C. Cañaverales 1A
                                , La Puebla del Río","Campos de fútbol, Gimnasio, Aparcamiento"
Pádel Sport Olivares,"C. el Palomar nº8
                                , Olivares","Pistas de pádel, Gimnasio"
Parque La Rosaleda,", Sevilla","Servicio de taquillas, Pistas de pádel, Piscina, Gimnasio, Aparcamiento, Vestuarios"
Instalaciones deportivas municipales Zona Centro,"Calle de Joaquín Camino 2
                                , Camas",Gimnasio
Ociosur Pilas ELIMINAR,"P.º los Almendros 31
                                , Pilas","Piscina, Gimnasio"
Pabellón Municipal de Deportes 'Muriel Bujalance Leal',", Gelves",Gimnasio
Pabellon Municipal Nero,"C. Fresno
                                , El Viso del Alcor",Gimnasio
Gym Budo Senshi,"C. Bruselas
                                , Villanueva del Ariscal","Gimnasio, Pistas polideportivas"
Padelball,"C. Lepanto 5
                                , Bollullos de la Mitación","Clases de pádel, Pistas de pádel, Gimnasio"
Polideportivo Palomares,"C. Amapolas 39
                                , Palomares del Río",Gimnasio
Body Perfect Sevilla,"P.º de Cristóbal Colón 5
                                , Sevilla",Gimnasio
McFit Sevilla Este,"C.C.Zona Este. Gta.Palacio de Congresos, s/n
                                , Sevilla","Actividades dirigidas, Gimnasio, Vestuarios"
Centro Deportivo Bami,"C. Luis Rosales S/N
                                , Sevilla","Pistas de pádel, Gimnasio"
Pabellón Cubierto Antonio García Martínez,"Av. Juan de Mairena s/n
                                , Mairena del Alcor",Gimnasio
Complejo Deportivo Municipal de Ramón y Cajal,"C. Tirso de Molina 11
                                , Dos Hermanas",Gimnasio
Polideportivo Municipal Francisco León,"Av. Mariana de Pineda 1
                                , Mairena del Aljarafe",Gimnasio
Gym Esther,"C. Gramil
                                , Sevilla",Gimnasio
Gym Online Sevilla con Mykola Diachuk,"Calle Cano y Cueto 2
                                , Sevilla",Gimnasio
Gallardo Personal Trainer,"Calle Osaka número 19
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
Entrenador Personal Sevilla OnlineMykola Diachuk,"Plaza la Fuente 16
                                , Sevilla",Gimnasio
SeMiEntrenador,"Calle Bami
                                , Sevilla",Gimnasio
Gimnasio Online Sevilla Entrenador personal,"Ctra. Su Eminencia 2b
                                , Sevilla","Gimnasio, Vestuarios"
FIT3OX,"Av. San José 17
                                , Gines",Gimnasio
Chemi González,"Av. de la Industria 5
                                , Gelves",Gimnasio
Club Estevez,", Gelves",Gimnasio
Club de Boxeo Isidro,"Calle Mesones 23
                                , Marchena","Boxeo, Entrenamientos personalizados, Gimnasio"
Club Deportivo Rítmica Martia,"Calle Hostelería 33
                                , Marchena",Gimnasio
Body Center Fitness,", Paradas",Gimnasio
Masterfit Funcional Center,"Calle Haendel 28
                                , Arahal",Gimnasio
"Club Sato Sport, Mairena Aljarafe","Calle Manufactura 13
                                , Mairena del Aljarafe",Gimnasio
Cuerpos Fitt,"Calle José Monge Cruz Camarón de la Isla
                                , Tomares",Gimnasio
Columpios Biosaludables,"Calle Cornisa del Carambolo 15
                                , Camas",Gimnasio
Fitness Center Palace,"C. Manuel Esquivias 31
                                , Bormujos",Gimnasio
New Fitness RAW CrossFit,", Castilleja de la Cuesta","CrossFit, Gimnasio"
Sociedad Deportiva La Huerta Y la Atalaya,"C. Julio César 10
                                , Camas",Gimnasio
Fastlap gimnasio femenino,"C. Virgen del Valle 4
                                , Sevilla",Gimnasio
Clínica Cinética,"Gta. Fernando Quiñones, Edif. Centris, Pl 2, pta 14
                                , Tomares","Fisioterapeuta deportivo, Entrenamientos personalizados, Gimnasio"
Polideportivo de Sanlúcar la Mayor,"Av. Amancio Ortega 5
                                , Sanlúcar la Mayor",Gimnasio
Scorpio -Estudio aéreo-,"C. los Romeros de la Puebla 37
                                , La Puebla del Río",Gimnasio
Espacio Municipal Deportivo Ana Mesa Villa,", Coria del Río",Gimnasio
Centro Deportivo Parque de los Príncipes,"Sta. Fe
                                , Sevilla",Gimnasio
Natación Técnica,"C. Juan Sebastián Elcano 11
                                , Sevilla","Escuela de natación, Gimnasio"
Faerün CrossFit,"Av. de Sanlucar la Mayor 121
                                , Bollullos de la Mitación","CrossFit, Gimnasio"
CrossFit Urban Hero,"C. Pino Doncel 10
                                , Sevilla","CrossFit, Gimnasio"
Pistas Padel El Viso del Alcor,"Av. Piedra del Gallo 1
                                , El Viso del Alcor","Pistas de pádel, Gimnasio"
Asoc Deportiva y Cultural Augusto,"Calle Rafael Alberti
                                , La Algaba",Gimnasio
Finrs Zala,"Calle Margarita 1
                                , Brenes",Gimnasio
Rítmica Almar,"Calle Diamantino García 40
                                , Brenes",Gimnasio
Pilates,"Calle Clara Campoamor 47A
                                , Cantillana","Pilates, Gimnasio"
Zumba fitness,"Calle Mallorca 5
                                , Gelves","Zumba, Gimnasio"
Mmumm,"Calle Juan de Dios Soto 14
                                , Gines",Gimnasio
Salón multiusos,"Calle Sanatorio 7
                                , Gines",Gimnasio
center maidala,"Calle del Aire nº9
                                , Gines",Gimnasio
Estadio partido cordoba,"Av. del Deporte 2
                                , Gines",Gimnasio
Ciudad Deportiva Guillena,"Calle Huerto 34
                                , Guillena",Gimnasio
Gym Hato Verde,"Calle Manuel Piñero 81
                                , Guillena",Gimnasio
GIMNASIO MUNICIPAL LA SOLEDAD,"Calle Casares
                                , Pilas",Gimnasio
Gimnasio Training Center Alcalá de Henares villalbilla,", Alcalá de Guadaíra",Gimnasio
Pilates con máquinas,"Calle Miguel de Cervantes
                                , Martín de la Jara","Pilates, Gimnasio"
GMNASIO BOXSPORT JARA,"Calle la Teja
                                , Martín de la Jara",Gimnasio
Gimnasio Municipal Jacinto Ruiz,", La Roda de Andalucía",Gimnasio
Spining Barba Center,"Calle Clavellina 3
                                , Pedrera",Gimnasio
"Mini Pabellón Polideportivo ""Juan de Mesa""",", Tocina","Gimnasio, Pistas polideportivas"
Javier Perez,"Calle Dr. Laffon Soto s/n
                                , Sevilla",Gimnasio
A&M Wellness Entrenamientos Personalizados,", Sevilla","Entrenamientos personalizados, Gimnasio"
Entrenador Personal Coach Paco Sanclemente Personal Trainer,"Amistad 3
                                , Sevilla","Entrenamientos personalizados, Gimnasio"
Low Cost Fitness City S.l.,"Av. del Barrerillo 1
                                , Bormujos",Gimnasio
Club boxeo simarro,"Calle Dr. Fleming 18
                                , San Juan de Aznalfarache","Boxeo, Gimnasio"
Gustavo Adolfo Fernández Villagrán,"Av. Jerez 35
                                , Lebrija",Gimnasio
Gimnasio Nazau,"C. Bachiller 5
                                , Écija",Gimnasio
Sevilla Padel,"C. Éfeso 717
                                , Sevilla","Pistas de pádel, Gimnasio"
Pistas de Pádel Universidad Pablo de Olavide,"C. Miguel de Muzquiz
                                , Sevilla","Pistas de pádel, Gimnasio"
Caja Sol Dos Hermanas,"Cl. Meñaca 6
                                , Dos Hermanas",Gimnasio
Pistas de padel mairena,"C. Genil 4
                                , Mairena del Alcor","Pistas de pádel, Gimnasio"
PADEL EN LA RED GESTION SL,"Av. San Francisco Javier 24
                                , Sevilla","Pistas de pádel, Gimnasio"
Asoc Dep Centro Pilates Sevilla,"C. Alcazaba 11
                                , Bormujos","Pilates, Gimnasio"
Polideportivo Santa Lucia,"Av. Piedra del Gallo
                                , El Viso del Alcor",Gimnasio
Instalaciones deportivas Sporttia,"C. Huerta Grande 61
                                , Alcalá del Río",Gimnasio
Fernando Reina,"La Mogaba,48, Isaac Peral 9
                                , Gines",Gimnasio
Gimnasio Cuida tu cuepo,"C. Flor de Porcelana
                                , Sevilla",Gimnasio
Ensayo Bofeta,"C. Francisco Meneses 2A
                                , Sevilla",Gimnasio
FAT-CTTBI,"Dr. Miguel Ríos Sarmiento 136
                                , Sevilla",Gimnasio
PK Zona Nueva,"P.º de las Delicias 5
                                , Sevilla",Gimnasio
Gimnasio Vding S. Betnardo,"C. Prta de la Carne
                                , Sevilla",Gimnasio
Rincinada,"Calle OLMO 3
                                , La Rinconada",Gimnasio
Padel La Rinconada,"Calle Quinto Centenario 2
                                , La Rinconada","Pistas de pádel, Gimnasio"
Onlybarzzteam,", Los Palacios y Villafranca",Gimnasio
Globo De Core,"Calle Álvarez Quintero 93
                                , Los Palacios y Villafranca",Gimnasio
Urbanworks S L,"Calle Manufactura 13
                                , Mairena del Aljarafe",Gimnasio
Campo los Alcolres,"Calle San Isidro Labrador 67
                                , Mairena del Aljarafe",Gimnasio
Gasolinera Norpetrol,"Av. Extremadura 21
                                , Camas",Gimnasio
Cross Fit,"Calle Albadoneros 6
                                , Carmona","CrossFit, Gimnasio"
Pista carmona,"Diseminado Diseminados 2 382
                                , Carmona",Gimnasio
Monroygimq,"Calle Julián de Galo 14
                                , Mairena del Alcor",Gimnasio
Galisur Sport Sl,"Calle Ignacio Gómez Millán 0
                                , Sevilla","Gimnasio, Vestuarios"
Tododeporte-Arahalsur,"Calle Villamartín
                                , Arahal",Gimnasio
Asd Club Gimnasio Millán,"Calle Calderón de la Barca 9
                                , Utrera",Gimnasio
Carmen Aguilera Sánchez,"Calle de San Juan Bosco 98
                                , Utrera",Gimnasio
Elite Academia,"Calle de San Juan Bosco 31
                                , Utrera",Gimnasio
Energy Padel,"Av. de Blas Infante 68
                                , Coria del Río","Pistas de pádel, Gimnasio"
Bujinkan Coria del Rio,"C. Lila
                                , Coria del Río",Gimnasio
Pilates & Salud,"Av. de Andalucia 37
                                , Coria del Río","Pilates, Gimnasio"
"Módulo de Atletismo ""Yo Corro Por Borja""",", La Puebla del Río",Gimnasio
Ostippo Yoga Center,"C. Salvador Moreno Durán
                                , Estepa","Yoga, Gimnasio"
Yoga Y Pilates,"Av. de Andalucía
                                , Estepa","Pilates, Yoga, Gimnasio"
Tarotista Gloria,"C. Venta la Marquesa nº6
                                , Gines",Gimnasio
Academia la Tecla sl,"C. la Lamparilla 9
                                , Pilas",Gimnasio
Polígono El Manchón,"C. Algeciras 54
                                , Tomares",Gimnasio
Solosolarium,", Tomares","Gimnasio, Solarium"
